id,name,status,category,성격블록,ballfeet,shade_mm,groundsheet,rockingfoot,cupholder,weight_g,load_kg,seat_height_cm,width_cm,length_cm,height_cm,pack_size,price_krw
CHR1-OUT-MINI,체어원 미니,판매중,체어,로우백,45,없음,없음,없음,없음,490,90,16,39,33.5,43.5,8x26.5x11,78000
CHR1-OUT-OG,체어원(구형),단종,체어,로우백,45,없음,One,One,전용,[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인]
CHR1-OUT-STD,체어원(신형),판매중,체어,로우백,45,13.0,One,One,전용,970,145,22.5,52.5,51,65,11x35.5x11,115000
CHR1-OUT-RE,체어원(re),판매중,체어,로우백,55,13.0,One(re),One(re),전용,1120,145,23,52,57,71,12x39x13.5,139000
CHR1-OUT-LG,체어원 라지,판매중,체어,로우백,45,13.0,Two,없음,전용,1150,145,25,56.5,54,73,12x39x13,134000
CHR1-OUT-XL,체어원 엑스라지,판매중,체어,로우백,55,14.5,XL,XL,전용,1590,145,31.5,69.5,59,89,12.5x47x12,165000
CHR1-OUT-LT,체어원 LT,품절,체어,로우백,45,13.0,One,One,전용,830,145,21.7,53.5,50,66,13x35.5x11.5,148000
CHR2-OUT-STD,체어투,판매중,체어,하이백,45,13.0,Two,Two,전용,1210,145,19,54.5,64,84,13x44x11,145000
CHR1HB-OUT-RE,체어원 하이백(re),판매중,체어,하이백,55,13.0,Two,One(re),전용,1300,145,25,57,63,88,14x46x12,168000
SUNS-OUT-STD,선셋체어,판매중,체어,하이백,55,14.5,Sunset,XL,전용,1560,145,30,59,71,97,13x48x12,170000
SUNS-OUT-LT,선셋체어 LT,판매중,체어,하이백,55,14.5,Sunset,XL,전용,1330,145,28,59,72.5,97.5,14x46.5x13,208000
SUNS-OUT-RE,선셋체어(re),판매중,체어,하이백,55,14.5,XL,없음,없음,1660,145,28,63,74,97,15x47.5x11,195000
BCH-OUT-RE,비치체어(re),판매중,체어,하이백,없음,14.5,없음,없음,없음,1700,145,11,66.5,74,78,15x53x11,195000
BCH-OUT-MSHRE,비치체어 메쉬(re),판매중,체어,하이백,없음,14.5,없음,없음,없음,1760,145,11,66,74,78,16x55x23,220000
BCH-OUT-STD,비치체어,단종,체어,하이백,없음,14.5,없음,없음,없음,[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인]
BCH-OUT-MSH,비치체어 메쉬,단종,체어,하이백,없음,14.5,없음,없음,없음,[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인]
PLYA-OUT-STD,플라야 체어,단종,체어,하이백,[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인]
SAVA-OUT-STD,사바나 체어,판매중,체어,하이백,55,14.5,XL,XL,없음,1950,145,30,64,78,110,16.5x50.5x16.5,220000
CAMP-OUT-STD,캠프 체어,단종,체어,기타,55,14.5,Sunset,XL,전용,[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인]
GRND-OUT-STD,그라운드 체어,판매중,체어,기타,없음,없음,없음,없음,없음,650,120,9.5,52.5,50,49,11.5x30.5x11.5,125000
FEST-OUT-STD,페스티벌 체어,판매중,체어,기타,없음,15.6,없음,없음,없음,1300,145,8,56,57,50.5,12.5x51x13.3,130000
SWVL-OUT-STD,스위블 체어,판매중,체어,기타,55,없음,Swivel,없음,없음,1310,120,27.5,52,52,73,12x42x10,158000
CAFE-OUT-STD,카페 체어,판매중,체어,기타,없음,없음,없음,없음,없음,1420,145,40,57,45.5,85.5,16.5x58x16.5,195000
CHRZ-OUT-STD,체어제로,판매중,체어,경량,45,없음,Zero,없음,전용,530,120,16.5,50.5,46,64,10x35x10,125000
CHRZ-OUT-LT,체어제로 LT,판매중,체어,경량,45,없음,Zero,없음,전용,516,120,17.5,50.5,46,64,12x36x12,165000
CHRZ-OUT-LG,체어제로 라지,판매중,체어,경량,45,없음,One,없음,전용,670,145,22.5,52,50,66,11.5x35x11.5,160000
CHRZ-OUT-HB,체어제로 하이백,판매중,체어,경량,없음,없음,Two,없음,전용,670,120,18,49,54,81,13.5x41x13.5,180000
SPDS-OUT-STD,스피드 스툴 S,단종,체어,스툴,45,없음,없음,없음,없음,[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인],[미확인]
SPDM-OUT-STD,스피드 스툴 M,판매중,체어,스툴,45,없음,없음,없음,없음,440,100,[미확인],24,36,27,43x8.5x8.5,110000
BNC1-OUT-STD,벤치원,판매중,체어,스툴,55,없음,없음,없음,없음,2050,190,39,40.5,112,39,45x16.5x16.5,310000
